DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3797905.3807874,Latency-SLO-Aware Memory Offloading for Large Language Model Inference,Chenxiang Ma; Hanyu Zhao; Zhisheng Ye; Zehua Yang; Tianhao Fu; Jiaxun Han; Jie Zhang; Yingwei Luo; Xiaolin Wang; Zhenlin Wang; Yong Li; Diyu Zhou,2026,Proceedings of the 40th ACM International Conference on Supercomputing,proceedings-article,https://doi.org/10.1145/3797905.3807874,
10.1145/3654796,A Novel Pretrained General-purpose Vision Language Model for the Vietnamese Language,Dinh Anh Vu; Quang Nhat Minh Pham; Giang Son Tran,2024,ACM Transactions on Asian and Low-Resource Language Information Processing,journal-article,https://doi.org/10.1145/3654796,"Lying in the cross-section of computer vision and natural language processing, vision language models are capable of processing images and text at once. These models are helpful in various tasks: text generation from image and vice versa, image-text retrieval, or visual navigation. Besides building a model trained on a dataset for a task, people also study general-purpose models to utilize many datasets for multitasks. Their two primary applications are image captioning and visual question answering. For English, large datasets and foundation models are already abundant. However, for Vietnamese, they are still limited. To expand the language range, this work proposes a pretrained general-purpose image-text model named VisualRoBERTa. A dataset of 600k images with captions (translated MS COCO 2017 from English to Vietnamese) is introduced to pretrain VisualRoBERTa. The model’s architecture is built using Convolutional Neural Network and Transformer blocks. Fine-tuning VisualRoBERTa shows promising results on the ViVQA dataset with 34.49% accuracy, 0.4173 BLEU 4, and 0.4390 RougeL (in visual question answering task), and best outcomes on the sViIC dataset with 0.6685 BLEU 4, 0.6320 RougeL (in image captioning task)."
10.1145/3664647.3681624,SSAT-Adapter: Enhancing Vision-Language Model Few-shot Learning with Auxiliary Tasks,Bowen Chen; Yun Sing Koh; Gillian Dobbie,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3681624,
10.1145/3689096.3690770,Vision-Language Models for Biomedical Applications,Surendrabikram Thapa; Usman Naseem; Luping Zhou; Jinman Kim,2024,Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications,proceedings-article,https://doi.org/10.1145/3689096.3690770,
10.1145/3733566.3734429,SafeDriveQA: Benchmarking Vision Language Model for Safe Driving Assessment,Satoshi Yamazaki; Michiaki Inoue; Mika Sakuma; Takahiro Kimoto,2025,Proceedings of the 6th Workshop on Intelligent Cross-Data Analysis and Retrieval,proceedings-article,https://doi.org/10.1145/3733566.3734429,
10.1145/3607827.3616843,Subsampling of Frequent Words in Text for Pre-training a Vision-Language Model,Mingliang Liang; Martha Larson,2023,Proceedings of the 1st Workshop on Large Generative Models Meet Multimodal Applications,proceedings-article,https://doi.org/10.1145/3607827.3616843,
10.1145/3746027.3755697,"From Captions to Rewards
                    <scp>(CaReVL):</scp>
                    Leveraging Large Language Model Experts for Enhanced Reward Modeling in Large Vision-Language Models",Muzhi Dai; Jiashuo Sun; Zhiyuan Zhao; Shixuan Liu; Rui Li; Junyu Gao; Xuelong Li,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755697,
10.1145/3664647.3681708,Domain Knowledge Enhanced Vision-Language Pretrained Model for Dynamic Facial Expression Recognition,Liupeng Li; Yuhua Zheng; Shupeng Liu; Xiaoyin Xu; Taihao Li,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3681708,
10.1145/3774905.3793142,BLURR: A Boosted Low-Resource Inference for Vision-Language-Action Model,Xiaoyu Ma; Zhengqing Yuan; Zheyuan Zhang; Kaiwen Shi; Lichao Sun; Yanfang Ye,2026,Companion Proceedings of the ACM Web Conference 2026,proceedings-article,https://doi.org/10.1145/3774905.3793142,
10.1145/3788731.3788733,Vision-Language Model-Assisted Active Learning for High-Accuracy Defect Detection in Automotive Bushing Components,Shikun Chen; Yangguang Liu,2025,Proceedings of the 2025 International Conference on Embodied Intelligence and Large Models,proceedings-article,https://doi.org/10.1145/3788731.3788733,
10.1145/3722573.3727826,Simulation vs. Hallucination: Assessing Vision-Language Model Question Answering Capabilities in Engineering Simulations,Jessica Ezemba; Christopher McComb; Conrad Tucker,2025,Proceedings of the 7th Workshop on Design Automation for CPS and IoT,proceedings-article,https://doi.org/10.1145/3722573.3727826,
10.1145/3728483.3760194,Enhancing Scientific Visual Question Answering via Vision-Caption aware Supervised Fine-Tuning,Janak Kapuriya; Anwar Shaikh; Arnav Goel; Medha Hira; Apoorv Singh; Jay Saraf; Sanjana; Vaibhav Nauriyal; Avinash Anand; Zhengkui Wang; Rajiv Ratn Shah,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760194,
10.1145/3715275.3732041,Social Perception of Faces in a Vision-Language Model,Carina I Hausladen; Manuel Knott; Colin F Camerer; Pietro Perona,2025,"Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",proceedings-article,https://doi.org/10.1145/3715275.3732041,
10.1145/3730436.3730508,Medical Report Generation Based on Mixed Visual Encoding and Vision-Language Model,Hongli Xu; Chenglin Yang; Haiyong Chen; Jun Xie; Yangjie Cao,2025,Proceedings of the 2025 International Conference on Artificial Intelligence and Computational Intelligence,proceedings-article,https://doi.org/10.1145/3730436.3730508,
10.1145/3749859.3749867,A Body Part Detection Method Based on Vision-Language Model,Yu-Hong Zheng; Keng-Chun Chang; Fen-Yu Liao; Guo-Shiang Lin,2025,"Proceedings of the 2025 7th International Conference on Image, Video and Signal Processing",proceedings-article,https://doi.org/10.1145/3749859.3749867,
10.1145/3786583.3786920,Vision Language Model-based Testing of Industrial Autonomous Mobile Robots,Jiahui Wu; Chengjie Lu; Aitor Arrieta; Shaukat Ali; Thomas Peyrucain,2026,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,proceedings-article,https://doi.org/10.1145/3786583.3786920,
10.1145/3607822.3618015,Mitigating inherent latency in off-device computer vision for spatial interfaces,Zaran Zahid; Mingze Xi; Stuart Anderson; Madhawa Perera; Matt Adcock,2023,Proceedings of the 2023 ACM Symposium on Spatial User Interaction,proceedings-article,https://doi.org/10.1145/3607822.3618015,
10.1145/3745756.3809243,VLMCache: Efficient On-Device Vision-Language Model Inference,Yinyuan Zhang; Daliang Xu; Zhiyang Chen; Chenghua Wang; Ying Zhang; Mengwei Xu; Gang Huang,2026,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services",proceedings-article,https://doi.org/10.1145/3745756.3809243,
10.1145/3797248.3815411,Energy and Carbon Footprint of Vision-Language-Action Model Inference for Edge Robotic Systems,Arshia Eslami; Mahsa Ardakani; Amin Roostaee; Hasti Zanganeh; Ramtin Zand,2026,Proceedings of the 16th ACM International Green and Sustainable Computing Conference,proceedings-article,https://doi.org/10.1145/3797248.3815411,
10.1145/3637528.3671945,Efficient and Long-Tailed Generalization for Pre-trained Vision-Language Model,Jiang-Xin Shi; Chi Zhang; Tong Wei; Yu-Feng Li,2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,proceedings-article,https://doi.org/10.1145/3637528.3671945,
10.1145/3704323.3704374,Leveraging Large Language and Vision Assistant Model for Multi Camera Appearance Features,Oliver Zeilerbauer; Mohammad Reza Mohebbi; Mario Doeller,2024,Proceedings of the 2024 13th International Conference on Computing and Pattern Recognition,proceedings-article,https://doi.org/10.1145/3704323.3704374,
10.1145/3787279.3787326,Knowledge-Driven Vision-Language Model for Plexus Detection in Hirschsprung's Disease,Youssef Megahed; Atallah Madi; Dina El Demellawy; Adrian D. C. Chan,2025,Proceedings of the 2025 9th International Conference on Advances in Artificial Intelligence,proceedings-article,https://doi.org/10.1145/3787279.3787326,
10.1145/3746027.3758235,RSVLM-QA: A Benchmark Dataset for Remote Sensing Vision Language Model-based Question Answering,Xing Zi; Jinghao Xiao; Yunxiao Shi; Xian Tao; Jun Li; Ali Braytee; Mukesh Prasad,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3758235,
10.1145/3746267.3762176,VLIAL: Vision-Language Instance Awareness Learning via VLMs for Weakly Supervised Video Anomaly Detection,Heng Lian; Zhiwei Yang; Zhaoyang Wu; Bo Lin; Tianqiang Huang; Qiaoru Miao,2025,Proceedings of the 1st International Workshop on Vision-Language in Soft Robot,proceedings-article,https://doi.org/10.1145/3746267.3762176,
10.1145/3728483.3760195,Few-shot Anomaly Detection based on Long Short Text Interactive Contrastive Learning,Jiadong Yan; Quan Zhang; Yifan Zhou; Tianle Yang; Ke Zhang,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760195,
10.1145/3581783.3612498,Pro-Cap: Leveraging a Frozen Vision-Language Model for Hateful Meme Detection,Rui Cao; Ming Shan Hee; Adriel Kuek; Wen-Haw Chong; Roy Ka-Wei Lee; Jing Jiang,2023,Proceedings of the 31st ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3581783.3612498,
10.1145/3746267,Proceedings of the 1st International Workshop on Vision-Language in Soft Robot,,2025,,proceedings,https://doi.org/10.1145/3746267,
10.1145/3813723.3813743,Illumination-Aware Fine-Tuning of a Vision-Language-Action Model for Autonomous Lunar Robotic Manipulation,Bingqi Huang; Bingchuan Wei; Isaac Tze Yeung Hiew; Yingkai Cai; Zhaokui Wang,2026,Proceedings of the International Conference on Artificial Intelligence and Advanced Autonomous Systems,proceedings-article,https://doi.org/10.1145/3813723.3813743,
10.1145/3746709.3746732,Cross-Modal Vision-Language Model for High-Precision Human Pose Estimation,Hai Liu; Chengyue Bai; Tingting Liu; Yu Song; Li Zhao; Hong Chen; Linli Tan,2025,Proceedings of the 2025 6th International Conference on Computer Information and Big Data Applications,proceedings-article,https://doi.org/10.1145/3746709.3746732,
10.1145/3689096,Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications,,2024,,proceedings,https://doi.org/10.1145/3689096,
10.1145/3746027.3755299,A Satellite-Ground Synergistic Large Vision-Language Model System for Earth Observation,Yuxin Zhang; Jiahao Yang; Zhe Chen; Wenjun Zhu; Jin Zhao; Yue Gao,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755299,
10.1145/3789982.3790051,A Parametric Latency Model for Optimizing Edge AI Architectures,Ioannis Patias; Koutaro Hachiya,2025,Proceedings of the 2025 8th Artificial Intelligence and Cloud Computing Conference,proceedings-article,https://doi.org/10.1145/3789982.3790051,
10.1145/3663547.3759715,How Well Can Vision Language Models Simulate the Vision Perception of People with Low Vision?,Rosiana Natalie; Wenqian Xu; Ruei-Che Chang; Anhong Guo,2025,Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,proceedings-article,https://doi.org/10.1145/3663547.3759715,
10.1145/3785022.3785055,Evaluating Large Language Model Feedback to Support Teacher Professional Vision: Prompting Strategies and Pre-service Teacher Engagement,Sirui Ren; Ha Nguyen; Kathleen Stürmer; Manuel Hopp; Richard Göllner; Tim Fütterer,2026,Proceedings of the LAK26: 16th International Learning Analytics and Knowledge Conference,proceedings-article,https://doi.org/10.1145/3785022.3785055,
10.1145/3677386.3682095,TAGGAR: General-Purpose Task Guidance from Natural Language in Augmented Reality using Vision-Language Models,Daniel Stover; Doug Bowman,2024,ACM Symposium on Spatial User Interaction,proceedings-article,https://doi.org/10.1145/3677386.3682095,
10.1145/3746027.3755623,"Quality Text, Robust Vision: The Role of Language in Enhancing Visual Robustness of Vision-Language Models",Futa Waseda; Saku Sugawara; Isao Echizen,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755623,
10.1145/3696410.3714772,PerSRV: Personalized Sticker Retrieval with Vision-Language Model,Heng Er Metilda Chee; Jiayin Wang; Zhiqiang Guo; Weizhi Ma; Min Zhang,2025,Proceedings of the ACM on Web Conference 2025,proceedings-article,https://doi.org/10.1145/3696410.3714772,
10.1145/3589335.3651939,Federated Learning in Large Model Era: Vision-Language Model for Smart City Safety Operation Management,Zengxiang Li; Zhaoxiang Hou; Hui Liu; Tongzhi Li; Chengyi Yang; Ying Wang; Chao Shi; Longfei Xie; Weishan Zhang; Liang Xu; Zelei Liu,2024,Companion Proceedings of the ACM Web Conference 2024,proceedings-article,https://doi.org/10.1145/3589335.3651939,
10.1145/3774904.3792127,Task-Aware Cloud-End Offloading for Vision-Language Model Serving via Dynamic Modality-Specific Adapter Scheduling,Zian Wang; Ziyi Wang; Jie Xing; Yaya Wei; Ziyan Zhong; Lanshan Zhang,2026,Proceedings of the ACM Web Conference 2026,proceedings-article,https://doi.org/10.1145/3774904.3792127,
10.1145/3581783.3611878,A Reinforcement Learning-Based Automatic Video Editing Method Using Pre-trained Vision-Language Model,Panwen Hu; Nan Xiao; Feifei Li; Yongquan Chen; Rui Huang,2023,Proceedings of the 31st ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3581783.3611878,
10.1145/3736425.3770118,A Vision-Language Model Agent for building code compliance,Zeyang Zheng; Seyed Hamidreza Nabaei; Somayeh Asadi; Brad Campbell; Arsalan Heydarian,2025,"Proceedings of the 12th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",proceedings-article,https://doi.org/10.1145/3736425.3770118,
10.1145/3746027.3755520,EvoVLMA: Evolutionary Vision-Language Model Adaptation,Kun Ding; Ying Wang; Shiming Xiang,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755520,
10.1145/3785353.3815079,Watermarking Large Vision-Language Models: The Vision Encoder is all You Need,Boussad Addad; Katarzyna Kapusta; Olivier Bettan,2026,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security,proceedings-article,https://doi.org/10.1145/3785353.3815079,
10.1145/3744335.3758495,Understanding Pedestrian Gesture Misrecognition: Insights from Vision-Language Model Reasoning,Tram Thi Minh Tran; Xinyan Yu; Callum Parker; Julie Stephany Berrío Perez; Stewart Worrall; Martin Tomitsch,2025,Adjunct Proceedings of the 17th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,proceedings-article,https://doi.org/10.1145/3744335.3758495,
10.1145/3702993,GUing: A Mobile GUI Search Engine using a Vision-Language Model,Jialiang Wei; Anne-Lise Courbis; Thomas Lambolais; Binbin Xu; Pierre Louis Bernard; Gérard Dray; Walid Maalej,2025,ACM Transactions on Software Engineering and Methodology,journal-article,https://doi.org/10.1145/3702993,"Graphical User Interfaces (GUIs) are central to app development projects. App developers may use the GUIs of other apps as a means of requirements refinement and rapid prototyping or as a source of inspiration for designing and improving their own apps. Recent research has thus suggested retrieving relevant GUI designs that match a certain text query from screenshot datasets acquired through crowdsourced or automated exploration of GUIs. However, such text-to-GUI retrieval approaches only leverage the textual information of the GUI elements, neglecting visual information such as icons or background images. In addition, retrieved screenshots are not steered by app developers and lack app features that require particular input data. To overcome these limitations, this article proposes GUing, a GUI search engine based on a vision-language model called GUIClip, which we trained specifically for the problem of designing app GUIs. For this, we first collected from Google Play app introduction images which display the most representative screenshots and are often captioned (i.e., labeled) by app vendors. Then, we developed an automated pipeline to classify, crop, and extract the captions from these images. This resulted in a large dataset which we share with this article: including 303k app screenshots, out of which 135k have captions. We used this dataset to train a novel vision-language model, which is, to the best of our knowledge, the first of its kind for GUI retrieval. We evaluated our approach on various datasets from related work and in a manual experiment. The results demonstrate that our model outperforms previous approaches in text-to-GUI retrieval achieving a Recall@10 of up to 0.69 and a HIT@10 of 0.91. We also explored the performance of GUIClip for other GUI tasks, including GUI classification and sketch-to-GUI retrieval with encouraging results."
10.1145/3714394.3756291,FuseLID: Vision-Language Model-Based Camera-Radar Fusion for Liquid Identification,Hongyu Deng; Jiangyou Zhu; He Chen,2025,Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing,proceedings-article,https://doi.org/10.1145/3714394.3756291,
10.1145/3745756.3809218,ZA-SLAM: Leveraging Vision-Language Model for Zero-Shot Acoustic SLAM,Zhuochen Yu; David K. Y. Yau; Yijie Shen; Xiaoran Fan; Tao Chen; Qun Song,2026,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services",proceedings-article,https://doi.org/10.1145/3745756.3809218,
10.1145/3810235,RehabGen: Generative Expert-in-the-Loop Vision-Language Model for Everyday Contextualized Rehabilitation Exercises,Youjin Sung; Heejin Jeong; Xuhai Xu; Sang Ho Yoon,2026,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",journal-article,https://doi.org/10.1145/3810235,"Self-directed rehabilitation in everyday environments remains difficult due to limited feedback and the absence of contextually grounded guidance. In response, we present RehabGen, a generative vision-language model that generates personalized exercise plans contextualized to a patient's egocentric image and available everyday objects. We followed an expert-in-the-loop (EITL) framework: gathering domain requirements through expert interviews and focus group interviews ( N =8), constructing a 1.66k multimodal preference dataset, and aligning the model using supervised fine-tuning (SFT) and Direct Preference Optimization (DPO). In Expert Validation ( N =23), DPO achieved a 57.6% item-level win rate over the Baseline, with higher scores in Personalized Recommendation (85.7%), Identify Purpose (63.6%), and Recommendation Satisfaction (66.7%). In Patient Experience Evaluation ( N =8), both models outperformed the Baseline. This work contributes an EITL framework and open-source models available at http://rehabgen.hcitech.org/ for clinically grounded, context-aware rehabilitation planning."
10.1145/3581783.3611987,Beyond Generic: Enhancing Image Captioning with Real-World Knowledge using Vision-Language Pre-Training Model,Kanzhi Cheng; Wenpo Song; Zheng Ma; Wenhao Zhu; Zixuan Zhu; Jianbing Zhang,2023,Proceedings of the 31st ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3581783.3611987,
10.1145/3746027.3755187,MM-Skin: Enhancing Dermatology Vision-Language Model with an Image-Text Dataset Derived from Textbooks,Wenqi Zeng; Yuqi Sun; Chenxi Ma; Weimin Tan; Bo Yan,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755187,
10.1145/3805622.3810676,Assessing Color Vision Test in Large Vision-language Models,Hongfei Ye; Bin Chen; Wenxi Liu; Yu Zhang; Zhao Li; Dandan Ni; Hongyang Chen,2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,proceedings-article,https://doi.org/10.1145/3805622.3810676,
10.1145/3769867,A Hierarchical Test Platform for Vision Language Model (VLM)-Integrated Real-World Autonomous Driving,Yupeng Zhou; Can Cui; Juntong Peng; Zichong Yang; Juanwu Lu; Jitesh Panchal; Bin Yao; Ziran Wang,2026,ACM Transactions on Internet of Things,journal-article,https://doi.org/10.1145/3769867,"Vision-Language Models (VLMs) have demonstrated significant promise for autonomous driving due to their powerful multimodal reasoning capabilities. However, adapting VLMs from generic data to safety-critical driving contexts introduces a notable challenge known as domain shift. Existing simulation-based and dataset-driven evaluation approaches struggle to accurately replicate real-world complexities, lacking repeatable closed-loop evaluation and flexible scenario manipulation. Furthermore, current real-world testing platforms typically focus on isolated modules and do not support comprehensive interaction with VLM-based systems. Consequently, there is a critical need for a holistic testing architecture capable of integrating perception, planning, and control modules, accommodating VLM-based systems, and supporting configurable real-world testing scenarios. In this article, we address this critical gap by proposing a hierarchical real-world test platform specialized in the rigorous evaluation of VLM-integrated autonomous driving systems. Specifically, our platform features have: a lightweight, structured, and low-latency middleware pipeline specialized for seamless VLM integration; a hierarchical modular architecture enabling flexible substitution between conventional and VLM-based autonomy components, providing exceptional deployment flexibility for rapid experimentation; and sophisticated closed-loop scenario-based testing capabilities on a controlled test track, facilitating comprehensive evaluation of the entire full-stack VLM-integrated autonomous driving pipeline, from perception, reasoning, decision-making, and planning to final vehicle maneuvers. Through an extensive real-world case study, we demonstrate the effectiveness of our platform in evaluating the performance and robustness of VLM-integrated autonomous driving under diverse realistic conditions. Project page and codes: https://github.com/YupengZhouPurdue/VLMTest ."
10.1145/3774521.3774556,FormLens: From Ink to Insight with Adapting Vision-Language Models for Handwritten Form Digitization,Shaon Bhattacharyya; Ajoy Mondal; C. V. Jawahar,2025,"Proceedings of the Sixteen Indian Conference on Computer Vision, Graphics and Image Processing",proceedings-article,https://doi.org/10.1145/3774521.3774556,
10.1145/3610978.3641080,CognitiveDog: Large Multimodal Model Based System to Translate Vision and Language into Action of Quadruped Robot,Artem Lykov; Mikhail Litvinov; Mikhail Konenkov; Rinat Prochii; Nikita Burtsev; Ali Alridha Abdulkarim; Artem Bazhenov; Vladimir Berman; Dzmitry Tsetserukou,2024,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,proceedings-article,https://doi.org/10.1145/3610978.3641080,
10.1145/3774521.3774542,HalluShift++: Bridging Language and Vision through Internal Representation Shifts for Hierarchical Hallucinations in MLLMs,Sujoy Nath; Arkaprabha Basu; Sharanya Dasgupta; Swagatam Das,2025,"Proceedings of the Sixteen Indian Conference on Computer Vision, Graphics and Image Processing",proceedings-article,https://doi.org/10.1145/3774521.3774542,
10.1145/3715675.3715793,Minimizing Disruptions in Low-Latency Streaming with Latency Dependent Intra-segment Response,Piers O'Hanlon,2025,Proceedings of the 4th Mile-High Video Conference,proceedings-article,https://doi.org/10.1145/3715675.3715793,
10.1145/3746027.3755643,The Eye of Sherlock Holmes: Uncovering User Private Attribute Profiling via Vision-Language Model Agentic Framework,Feiran Liu; Yuzhe Zhang; Xinyi Huang; Yinan Peng; Xinfeng Li; Lixu Wang; Yutong Shen; Ranjie Duan; Simeng Qin; Xiaojun Jia; Qingsong Wen; Wei Dong,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755643,
10.1145/3772318.3791143,Understanding the Use of a Large Language Model-Powered Guide to Make Virtual Reality Accessible for Blind and Low Vision People,Jazmin Collins; Sharon Y Lin; Tianqi Liu; Andrea Stevenson Won; Shiri Azenkot,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,proceedings-article,https://doi.org/10.1145/3772318.3791143,
10.1145/3706599.3720234,Through the Lens of Privacy: Exploring Privacy Protection in Vision-Language Model Interactions on Smart Glasses,Ziyang Zhang; Chong Bao; Xiaokun Pan; Chia-Ming Chang; Takeo Igarashi; Guofeng Zhang,2025,Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,proceedings-article,https://doi.org/10.1145/3706599.3720234,
10.1145/3641019,The Contemporary Art of Image Search: Iterative User Intent Expansion via Vision-Language Model,Yilin Ye; Qian Zhu; Shishi Xiao; Kang Zhang; Wei Zeng,2024,Proceedings of the ACM on Human-Computer Interaction,journal-article,https://doi.org/10.1145/3641019,"Image search is an essential and user-friendly method to explore vast galleries of digital images. However, existing image search methods heavily rely on proximity measurements like tag matching or image similarity, requiring precise user inputs for satisfactory results. To meet the growing demand for a contemporary image search engine that enables accurate comprehension of users' search intentions, we introduce an innovative user intent expansion framework. Our framework leverages visual-language models to parse and compose multi-modal user inputs to provide more accurate and satisfying results. It comprises two-stage processes: 1) a parsing stage that incorporates a language parsing module with large language models to enhance the comprehension of textual inputs, along with a visual parsing module that integrates an interactive segmentation module to swiftly identify detailed visual elements within images; and 2) a logic composition stage that combines multiple user search intents into a unified logic expression for more sophisticated operations in complex searching scenarios. Moreover, the intent expansion framework enables users to perform flexible contextualized interactions with the search results to further specify or adjust their detailed search intents iteratively. We implemented the framework into an image search system for NFT (non-fungible token) search and conducted a user study to evaluate its usability and novel properties. The results indicate that the proposed framework significantly improves users' image search experience. Particularly the parsing and contextualized interactions prove useful in allowing users to express their search intents more accurately and engage in a more enjoyable iterative search experience."
10.1145/3652583.3658032,Enhancing Interactive Image Retrieval With Query Rewriting Using Large Language Models and Vision Language Models,Hongyi Zhu; Jia-Hong Huang; Stevan Rudinac; Evangelos Kanoulas,2024,Proceedings of the 2024 International Conference on Multimedia Retrieval,proceedings-article,https://doi.org/10.1145/3652583.3658032,
10.1145/3805622.3810770,CodeMNER: Vision-Language Models are Better Multimodal Named Entity Recognizers via Progressive Vision-Code Alignment,Jiakang Yu; Shizhou Huang; Xiaode Chen; Hongtao Deng; Wang Gao; Xun Zhu,2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,proceedings-article,https://doi.org/10.1145/3805622.3810770,
10.1145/3702250.3702255,Vision-Language Modeling with Regularized Spatial Transformer Networks for All Weather Crosswind Landing of Aircraft,Debabrata Pal; Anvita Singh; Saumya Saumya; Shouvik Das,2024,Proceedings of the Fifteenth Indian Conference on Computer Vision Graphics and Image Processing,proceedings-article,https://doi.org/10.1145/3702250.3702255,
10.1145/3627703.3629565,Model Selection for Latency-Critical Inference Serving,Daniel Mendoza; Francisco Romero; Caroline Trippel,2024,Proceedings of the Nineteenth European Conference on Computer Systems,proceedings-article,https://doi.org/10.1145/3627703.3629565,
10.1145/3664647.3689177,"Multimodal Large Language Models and Tunings: Vision, Language, Sensors, Audio, and Beyond",Soyeon Caren Han; Feiqi Cao; Josiah Poon; Roberto Navigli,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3689177,
